Data from 'person_bbox.pkl':
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0445_0_normal.png: {'bbox': array([[234, 173, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1345_0_normal.png: {'bbox': array([[236, 315, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0040_0_normal.png: {'bbox': array([[231, 191, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1295_0_normal.png: {'bbox': array([[237, 174, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0550_0_normal.png: {'bbox': array([[226, 171, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1400_0_normal.png: {'bbox': array([[234, 316, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0315_0_normal.png: {'bbox': array([[231, 178, 405, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0095_0_normal.png: {'bbox': array([[231, 192, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1140_0_normal.png: {'bbox': array([[231, 191, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1150_0_normal.png: {'bbox': array([[227, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1495_0_normal.png: {'bbox': array([[238, 315, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0245_0_normal.png: {'bbox': array([[228, 181, 421, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1165_0_normal.png: {'bbox': array([[228, 180, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0100_0_normal.png: {'bbox': array([[230, 189, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0690_0_normal.png: {'bbox': array([[242, 284, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1200_0_normal.png: {'bbox': array([[229, 180, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0735_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0660_0_normal.png: {'bbox': array([[240, 284, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1440_0_normal.png: {'bbox': array([[236, 315, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0745_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1235_0_normal.png: {'bbox': array([[227, 175, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1030_0_normal.png: {'bbox': array([[228, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1130_0_normal.png: {'bbox': array([[228, 191, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0655_0_normal.png: {'bbox': array([[240, 285, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0730_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1310_0_normal.png: {'bbox': array([[231, 207, 396, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0250_0_normal.png: {'bbox': array([[231, 190, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0420_0_normal.png: {'bbox': array([[227, 189, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1085_0_normal.png: {'bbox': array([[231, 193, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0955_0_normal.png: {'bbox': array([[228, 180, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0430_0_normal.png: {'bbox': array([[227, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0635_0_normal.png: {'bbox': array([[247, 279, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0560_0_normal.png: {'bbox': array([[230, 169, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0210_0_normal.png: {'bbox': array([[227, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0395_0_normal.png: {'bbox': array([[230, 193, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1120_0_normal.png: {'bbox': array([[229, 185, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0515_0_normal.png: {'bbox': array([[229, 174, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0005_0_normal.png: {'bbox': array([[213, 176, 400, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0010_0_normal.png: {'bbox': array([[222, 173, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1055_0_normal.png: {'bbox': array([[232, 193, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0975_0_normal.png: {'bbox': array([[229, 194, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0275_0_normal.png: {'bbox': array([[229, 182, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0845_0_normal.png: {'bbox': array([[226, 268, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1435_0_normal.png: {'bbox': array([[237, 315, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1145_0_normal.png: {'bbox': array([[231, 192, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1080_0_normal.png: {'bbox': array([[231, 191, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1335_0_normal.png: {'bbox': array([[216, 306, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0455_0_normal.png: {'bbox': array([[231, 177, 405, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0850_0_normal.png: {'bbox': array([[227, 248, 423, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1155_0_normal.png: {'bbox': array([[229, 193, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0360_0_normal.png: {'bbox': array([[226, 188, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0555_0_normal.png: {'bbox': array([[227, 170, 399, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0180_0_normal.png: {'bbox': array([[225, 182, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0380_0_normal.png: {'bbox': array([[232, 195, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0060_0_normal.png: {'bbox': array([[229, 181, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0345_0_normal.png: {'bbox': array([[230, 187, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1205_0_normal.png: {'bbox': array([[227, 172, 396, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0740_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1455_0_normal.png: {'bbox': array([[237, 314, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1285_0_normal.png: {'bbox': array([[232, 169, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0310_0_normal.png: {'bbox': array([[236, 189, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1515_0_normal.png: {'bbox': array([[237, 315, 417, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0880_0_normal.png: {'bbox': array([[230, 170, 394, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0965_0_normal.png: {'bbox': array([[231, 192, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1110_0_normal.png: {'bbox': array([[231, 191, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1045_0_normal.png: {'bbox': array([[230, 180, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1490_0_normal.png: {'bbox': array([[238, 315, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1395_0_normal.png: {'bbox': array([[234, 316, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0435_0_normal.png: {'bbox': array([[230, 188, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1070_0_normal.png: {'bbox': array([[228, 192, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1340_0_normal.png: {'bbox': array([[230, 310, 399, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1125_0_normal.png: {'bbox': array([[229, 193, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0870_0_normal.png: {'bbox': array([[240, 170, 405, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0220_0_normal.png: {'bbox': array([[232, 195, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0460_0_normal.png: {'bbox': array([[231, 187, 402, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0510_0_normal.png: {'bbox': array([[229, 176, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0970_0_normal.png: {'bbox': array([[227, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0865_0_normal.png: {'bbox': array([[245, 170, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0340_0_normal.png: {'bbox': array([[228, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0195_0_normal.png: {'bbox': array([[228, 183, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0665_0_normal.png: {'bbox': array([[240, 285, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0925_0_normal.png: {'bbox': array([[230, 180, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0305_0_normal.png: {'bbox': array([[232, 182, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1405_0_normal.png: {'bbox': array([[235, 316, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1195_0_normal.png: {'bbox': array([[229, 180, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0610_0_normal.png: {'bbox': array([[219, 272, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1100_0_normal.png: {'bbox': array([[228, 191, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0065_0_normal.png: {'bbox': array([[231, 192, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1460_0_normal.png: {'bbox': array([[238, 314, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1305_0_normal.png: {'bbox': array([[238, 190, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0840_0_normal.png: {'bbox': array([[232, 277, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0760_0_normal.png: {'bbox': array([[242, 284, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
